0,1,2,3,4
Michael Curry,2000000,1999,2000,Detroit Pistons
George Lynch,2000000,1999,2000,Philadelphia 76ers
Grant Long,2000000,1999,2000,Vancouver Grizzlies
Chris Crawford,2000000,1999,2000,Atlanta Hawks
Steve Kerr,1968000,1999,2000,San Antonio Spurs
Vinny Del Negro,1925000,1999,2000,Milwaukee Bucks
Sean Rooks,1920000,1999,2000,Dallas Mavericks
Lucious Harris,1920000,1999,2000,New Jersey Nets
Jason Williams,1879000,1999,2000,Sacramento Kings
Richard Hamilton,1836000,1999,2000,Washington Wizards
Larry Hughes,1722000,1999,2000,Philadelphia 76ers
Andre Miller,1682000,1999,2000,Cleveland Cavaliers
Dirk Nowitzki,1583000,1999,2000,Dallas Mavericks
Shawn Marion,1546000,1999,2000,Phoenix Suns
Paul Pierce,1503000,1999,2000,Boston Celtics
Jason Terry,1468000,1999,2000,Atlanta Hawks
Bonzi Wells,1428000,1999,2000,Portland Trail Blazers
Trajan Langdon,1394000,1999,2000,Cleveland Cavaliers
Aleksandar Radojevic,1325000,1999,2000,Toronto Raptors
Keon Clark,1289000,1999,2000,Denver Nuggets
Corey Maggette,1259000,1999,2000,Orlando Magic
Michael Dickerson,1224000,1999,2000,Vancouver Grizzlies
William Avery,1196000,1999,2000,Minnesota Timberwolves
Matt Harpring,1163000,1999,2000,Orlando Magic
Eldridge Recasner,1100000,1999,2000,Charlotte Hornets
Metta World Peace,1079000,1999,2000,Chicago Bulls
Rasho Nesterovic,1050000,1999,2000,Minnesota Timberwolves
Cal Bowdler,1025000,1999,2000,Atlanta Hawks
James Posey,974000,1999,2000,Denver Nuggets
Pat Garrity,952000,1999,2000,Orlando Magic
Quincy Lewis,930000,1999,2000,Utah Jazz
Roshown McLeod,914000,1999,2000,Atlanta Hawks
Dion Glover,893000,1999,2000,Atlanta Hawks
Ricky Davis,878000,1999,2000,Charlotte Hornets
Greg Foster,857000,1999,2000,Seattle SuperSonics
Jeff Foster,857000,1999,2000,Indiana Pacers
Brian Skinner,843000,1999,2000,Los Angeles Clippers
Kenny Thomas,823000,1999,2000,Houston Rockets
Devean George,790000,1999,2000,Los Angeles Lakers
Al Harrington,745000,1999,2000,Indiana Pacers
Tim James,728000,1999,2000,Miami Heat
Jumaine Jones,684000,1999,2000,Philadelphia 76ers
Scott Padgett,679000,1999,2000,Utah Jazz
